"filename", "language", "JSON", "JavaScript", "Markdown", "HTML", "PostCSS", "YAML", "XML", "comment", "blank", "total"
"c:\Users\maidu\Music\OneDrive\ドキュメント\express__app\.eslintrc.cjs", "JavaScript", 0, 13, 0, 0, 0, 0, 0, 0, 1, 14
"c:\Users\maidu\Music\OneDrive\ドキュメント\express__app\README.md", "Markdown", 0, 0, 3, 0, 0, 0, 0, 0, 0, 3
"c:\Users\maidu\Music\OneDrive\ドキュメント\express__app\eslint.config.mjs", "JavaScript", 0, 7, 0, 0, 0, 0, 0, 0, 2, 9
"c:\Users\maidu\Music\OneDrive\ドキュメント\express__app\eslint_report.json", "JSON", 1, 0, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Users\maidu\Music\OneDrive\ドキュメント\express__app\express_report.json", "JSON", 663, 0, 0, 0, 0, 0, 0, 0, 0, 663
"c:\Users\maidu\Music\OneDrive\ドキュメント\express__app\loadtest.yml", "YAML", 0, 0, 0, 0, 0, 9, 0, 0, 1, 10
"c:\Users\maidu\Music\OneDrive\ドキュメント\express__app\package-lock.json", "JSON", 1112, 0, 0, 0, 0, 0, 0, 0, 1, 1113
"c:\Users\maidu\Music\OneDrive\ドキュメント\express__app\package.json", "JSON", 96, 0, 0, 0, 0, 0, 0, 0, 1, 97
"c:\Users\maidu\Music\OneDrive\ドキュメント\express__app\public\css\hamburger.css", "PostCSS", 0, 0, 0, 0, 161, 0, 0, 15, 20, 196
"c:\Users\maidu\Music\OneDrive\ドキュメント\express__app\public\js\hamburger.js", "JavaScript", 0, 273, 0, 0, 0, 0, 0, 18, 19, 310
"c:\Users\maidu\Music\OneDrive\ドキュメント\express__app\report\assets\css\morris.css", "PostCSS", 0, 0, 0, 0, 2, 0, 0, 0, 1, 3
"c:\Users\maidu\Music\OneDrive\ドキュメント\express__app\report\assets\css\plato-display.css", "PostCSS", 0, 0, 0, 0, 76, 0, 0, 0, 13, 89
"c:\Users\maidu\Music\OneDrive\ドキュメント\express__app\report\assets\css\plato-file.css", "PostCSS", 0, 0, 0, 0, 74, 0, 0, 0, 14, 88
"c:\Users\maidu\Music\OneDrive\ドキュメント\express__app\report\assets\css\plato-overview.css", "PostCSS", 0, 0, 0, 0, 97, 0, 0, 0, 21, 118
"c:\Users\maidu\Music\OneDrive\ドキュメント\express__app\report\assets\css\plato.css", "PostCSS", 0, 0, 0, 0, 53, 0, 0, 1, 15, 69
"c:\Users\maidu\Music\OneDrive\ドキュメント\express__app\report\assets\css\vendor\bootstrap.css", "PostCSS", 0, 0, 0, 0, 5780, 0, 0, 11, 1014, 6805
"c:\Users\maidu\Music\OneDrive\ドキュメント\express__app\report\assets\css\vendor\codemirror.css", "PostCSS", 0, 0, 0, 0, 189, 0, 0, 22, 29, 240
"c:\Users\maidu\Music\OneDrive\ドキュメント\express__app\report\assets\css\vendor\font-awesome.css", "PostCSS", 0, 0, 0, 0, 254, 0, 0, 31, 19, 304
"c:\Users\maidu\Music\OneDrive\ドキュメント\express__app\report\assets\css\vendor\morris.css", "PostCSS", 0, 0, 0, 0, 2, 0, 0, 0, 0, 2
"c:\Users\maidu\Music\OneDrive\ドキュメント\express__app\report\assets\font\fontawesome-webfont.svg", "XML", 0, 0, 0, 0, 0, 0, 255, 0, 0, 255
"c:\Users\maidu\Music\OneDrive\ドキュメント\express__app\report\assets\scripts\bundles\codemirror.js", "JavaScript", 0, 3, 0, 0, 0, 0, 0, 0, 0, 3
"c:\Users\maidu\Music\OneDrive\ドキュメント\express__app\report\assets\scripts\bundles\core-bundle.js", "JavaScript", 0, 8, 0, 0, 0, 0, 0, 0, 0, 8
"c:\Users\maidu\Music\OneDrive\ドキュメント\express__app\report\assets\scripts\codemirror.markpopovertext.js", "JavaScript", 0, 62, 0, 0, 0, 0, 0, 3, 13, 78
"c:\Users\maidu\Music\OneDrive\ドキュメント\express__app\report\assets\scripts\plato-display.js", "JavaScript", 0, 49, 0, 0, 0, 0, 0, 2, 9, 60
"c:\Users\maidu\Music\OneDrive\ドキュメント\express__app\report\assets\scripts\plato-file.js", "JavaScript", 0, 127, 0, 0, 0, 0, 0, 4, 22, 153
"c:\Users\maidu\Music\OneDrive\ドキュメント\express__app\report\assets\scripts\plato-overview.js", "JavaScript", 0, 152, 0, 0, 0, 0, 0, 10, 27, 189
"c:\Users\maidu\Music\OneDrive\ドキュメント\express__app\report\assets\scripts\plato-sortable-file-list.js", "JavaScript", 0, 64, 0, 0, 0, 0, 0, 30, 32, 126
"c:\Users\maidu\Music\OneDrive\ドキュメント\express__app\report\assets\scripts\vendor\bootstrap-popover.js", "JavaScript", 0, 59, 0, 0, 0, 0, 0, 28, 31, 118
"c:\Users\maidu\Music\OneDrive\ドキュメント\express__app\report\assets\scripts\vendor\bootstrap-tooltip.js", "JavaScript", 0, 263, 0, 0, 0, 0, 0, 28, 96, 387
"c:\Users\maidu\Music\OneDrive\ドキュメント\express__app\report\assets\scripts\vendor\codemirror\codemirror.js", "JavaScript", 0, 3730, 0, 0, 0, 0, 0, 373, 451, 4554
"c:\Users\maidu\Music\OneDrive\ドキュメント\express__app\report\assets\scripts\vendor\codemirror\javascript.js", "JavaScript", 0, 359, 0, 0, 0, 0, 0, 14, 39, 412
"c:\Users\maidu\Music\OneDrive\ドキュメント\express__app\report\assets\scripts\vendor\codemirror\util\closetag.js", "JavaScript", 0, 54, 0, 0, 0, 0, 0, 24, 8, 86
"c:\Users\maidu\Music\OneDrive\ドキュメント\express__app\report\assets\scripts\vendor\codemirror\util\colorize.js", "JavaScript", 0, 23, 0, 0, 0, 0, 0, 0, 7, 30
"c:\Users\maidu\Music\OneDrive\ドキュメント\express__app\report\assets\scripts\vendor\codemirror\util\continuecomment.js", "JavaScript", 0, 32, 0, 0, 0, 0, 0, 1, 4, 37
"c:\Users\maidu\Music\OneDrive\ドキュメント\express__app\report\assets\scripts\vendor\codemirror\util\continuelist.js", "JavaScript", 0, 27, 0, 0, 0, 0, 0, 0, 2, 29
"c:\Users\maidu\Music\OneDrive\ドキュメント\express__app\report\assets\scripts\vendor\codemirror\util\dialog.css", "PostCSS", 0, 0, 0, 0, 28, 0, 0, 0, 5, 33
"c:\Users\maidu\Music\OneDrive\ドキュメント\express__app\report\assets\scripts\vendor\codemirror\util\dialog.js", "JavaScript", 0, 71, 0, 0, 0, 0, 0, 1, 4, 76
"c:\Users\maidu\Music\OneDrive\ドキュメント\express__app\report\assets\scripts\vendor\codemirror\util\foldcode.js", "JavaScript", 0, 164, 0, 0, 0, 0, 0, 10, 9, 183
"c:\Users\maidu\Music\OneDrive\ドキュメント\express__app\report\assets\scripts\vendor\codemirror\util\formatting.js", "JavaScript", 0, 92, 0, 0, 0, 0, 0, 7, 10, 109
"c:\Users\maidu\Music\OneDrive\ドキュメント\express__app\report\assets\scripts\vendor\codemirror\util\javascript-hint.js", "JavaScript", 0, 119, 0, 0, 0, 0, 0, 10, 9, 138
"c:\Users\maidu\Music\OneDrive\ドキュメント\express__app\report\assets\scripts\vendor\codemirror\util\loadmode.js", "JavaScript", 0, 47, 0, 0, 0, 0, 0, 0, 5, 52
"c:\Users\maidu\Music\OneDrive\ドキュメント\express__app\report\assets\scripts\vendor\codemirror\util\match-highlighter.js", "JavaScript", 0, 36, 0, 0, 0, 0, 0, 5, 6, 47
"c:\Users\maidu\Music\OneDrive\ドキュメント\express__app\report\assets\scripts\vendor\codemirror\util\matchbrackets.js", "JavaScript", 0, 58, 0, 0, 0, 0, 0, 0, 6, 64
"c:\Users\maidu\Music\OneDrive\ドキュメント\express__app\report\assets\scripts\vendor\codemirror\util\multiplex.js", "JavaScript", 0, 86, 0, 0, 0, 0, 0, 1, 9, 96
"c:\Users\maidu\Music\OneDrive\ドキュメント\express__app\report\assets\scripts\vendor\codemirror\util\overlay.js", "JavaScript", 0, 45, 0, 0, 0, 0, 0, 8, 7, 60
"c:\Users\maidu\Music\OneDrive\ドキュメント\express__app\report\assets\scripts\vendor\codemirror\util\pig-hint.js", "JavaScript", 0, 97, 0, 0, 0, 0, 0, 5, 16, 118
"c:\Users\maidu\Music\OneDrive\ドキュメント\express__app\report\assets\scripts\vendor\codemirror\util\runmode-standalone.js", "JavaScript", 0, 84, 0, 0, 0, 0, 0, 1, 6, 91
"c:\Users\maidu\Music\OneDrive\ドキュメント\express__app\report\assets\scripts\vendor\codemirror\util\runmode.js", "JavaScript", 0, 48, 0, 0, 0, 0, 0, 1, 4, 53
"c:\Users\maidu\Music\OneDrive\ドキュメント\express__app\report\assets\scripts\vendor\codemirror\util\search.js", "JavaScript", 0, 108, 0, 0, 0, 0, 0, 7, 5, 120
"c:\Users\maidu\Music\OneDrive\ドキュメント\express__app\report\assets\scripts\vendor\codemirror\util\searchcursor.js", "JavaScript", 0, 106, 0, 0, 0, 0, 0, 5, 9, 120
"c:\Users\maidu\Music\OneDrive\ドキュメント\express__app\report\assets\scripts\vendor\codemirror\util\simple-hint.css", "PostCSS", 0, 0, 0, 0, 16, 0, 0, 0, 1, 17
"c:\Users\maidu\Music\OneDrive\ドキュメント\express__app\report\assets\scripts\vendor\codemirror\util\simple-hint.js", "JavaScript", 0, 80, 0, 0, 0, 0, 0, 15, 8, 103
"c:\Users\maidu\Music\OneDrive\ドキュメント\express__app\report\assets\scripts\vendor\codemirror\util\xml-hint.js", "JavaScript", 0, 99, 0, 0, 0, 0, 0, 0, 33, 132
"c:\Users\maidu\Music\OneDrive\ドキュメント\express__app\report\assets\scripts\vendor\jquery-1.8.3.min.js", "JavaScript", 0, 1, 0, 0, 0, 0, 0, 1, 0, 2
"c:\Users\maidu\Music\OneDrive\ドキュメント\express__app\report\assets\scripts\vendor\jquery.fittext.js", "JavaScript", 0, 17, 0, 0, 0, 0, 0, 15, 11, 43
"c:\Users\maidu\Music\OneDrive\ドキュメント\express__app\report\assets\scripts\vendor\lodash.min.js", "JavaScript", 0, 51, 0, 0, 0, 0, 0, 5, 0, 56
"c:\Users\maidu\Music\OneDrive\ドキュメント\express__app\report\assets\scripts\vendor\morris.min.js", "JavaScript", 0, 1, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Users\maidu\Music\OneDrive\ドキュメント\express__app\report\assets\scripts\vendor\raphael-min.js", "JavaScript", 0, 1, 0, 0, 0, 0, 0, 8, 1, 10
"c:\Users\maidu\Music\OneDrive\ドキュメント\express__app\report\display.html", "HTML", 0, 0, 0, 82, 0, 0, 0, 3, 17, 102
"c:\Users\maidu\Music\OneDrive\ドキュメント\express__app\report\files\server_js\index.html", "HTML", 0, 0, 0, 242, 0, 0, 0, 3, 40, 285
"c:\Users\maidu\Music\OneDrive\ドキュメント\express__app\report\files\server_js\report.history.js", "JavaScript", 0, 1, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Users\maidu\Music\OneDrive\ドキュメント\express__app\report\files\server_js\report.history.json", "JSON", 1, 0, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Users\maidu\Music\OneDrive\ドキュメント\express__app\report\files\server_js\report.js", "JavaScript", 0, 1, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Users\maidu\Music\OneDrive\ドキュメント\express__app\report\files\server_js\report.json", "JSON", 1, 0, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Users\maidu\Music\OneDrive\ドキュメント\express__app\report\index.html", "HTML", 0, 0, 0, 122, 0, 0, 0, 3, 24, 149
"c:\Users\maidu\Music\OneDrive\ドキュメント\express__app\report\report.history.js", "JavaScript", 0, 1, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Users\maidu\Music\OneDrive\ドキュメント\express__app\report\report.history.json", "JSON", 1, 0, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Users\maidu\Music\OneDrive\ドキュメント\express__app\report\report.js", "JavaScript", 0, 1, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Users\maidu\Music\OneDrive\ドキュメント\express__app\report\report.json", "JSON", 1, 0, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Users\maidu\Music\OneDrive\ドキュメント\express__app\server.js", "JavaScript", 0, 129, 0, 0, 0, 0, 0, 14, 27, 170
"c:\Users\maidu\Music\OneDrive\ドキュメント\express__app\server_transpiled.js", "JavaScript", 0, 162, 0, 0, 0, 0, 0, 12, 13, 187
"c:\Users\maidu\Music\OneDrive\ドキュメント\express__app\views\hamburger.ejs", "HTML", 0, 0, 0, 33, 0, 0, 0, 6, 8, 47
"c:\Users\maidu\Music\OneDrive\ドキュメント\express__app\views\index.ejs", "HTML", 0, 0, 0, 13, 0, 0, 0, 0, 3, 16
"Total", "-", 1876, 7011, 3, 492, 6732, 9, 255, 761, 2208, 19347